model,dataset,strategy,accuracy,improvement_over_greedy
gpt-4o-mini,aqua,Greedy,80.0,0.0
gpt-4o-mini,aqua,Majority Vote,86.0,6.0
gpt-4o-mini,aqua,CPW,86.0,6.0
gpt-4o-mini,aqua,SCW,86.0,6.0
gpt-4o-mini,svamp,Greedy,86.0,0.0
gpt-4o-mini,svamp,Majority Vote,86.0,0.0
gpt-4o-mini,svamp,CPW,86.0,0.0
gpt-4o-mini,svamp,SCW,86.0,0.0
gpt-4o-mini,strategyqa,Greedy,66.0,0.0
gpt-4o-mini,strategyqa,Majority Vote,70.0,4.0
gpt-4o-mini,strategyqa,CPW,70.0,4.0
gpt-4o-mini,strategyqa,SCW,70.0,4.0
gpt-3.5-turbo,aqua,Greedy,66.0,0.0
gpt-3.5-turbo,aqua,Majority Vote,72.0,6.0
gpt-3.5-turbo,aqua,CPW,74.0,8.0
gpt-3.5-turbo,aqua,SCW,74.0,8.0
gpt-3.5-turbo,svamp,Greedy,70.0,0.0
gpt-3.5-turbo,svamp,Majority Vote,76.0,6.0
gpt-3.5-turbo,svamp,CPW,76.0,6.0
gpt-3.5-turbo,svamp,SCW,76.0,6.0
gpt-3.5-turbo,strategyqa,Greedy,62.0,0.0
gpt-3.5-turbo,strategyqa,Majority Vote,70.0,8.0
gpt-3.5-turbo,strategyqa,CPW,70.0,8.0
gpt-3.5-turbo,strategyqa,SCW,70.0,8.0
claude-haiku-4-5-20251001,aqua,Greedy,94.0,0.0
claude-haiku-4-5-20251001,aqua,Majority Vote,94.0,0.0
claude-haiku-4-5-20251001,aqua,CPW,94.0,0.0
claude-haiku-4-5-20251001,aqua,SCW,94.0,0.0
claude-haiku-4-5-20251001,svamp,Greedy,92.0,0.0
claude-haiku-4-5-20251001,svamp,Majority Vote,94.0,2.0
claude-haiku-4-5-20251001,svamp,CPW,94.0,2.0
claude-haiku-4-5-20251001,svamp,SCW,94.0,2.0
claude-haiku-4-5-20251001,strategyqa,Greedy,80.0,0.0
claude-haiku-4-5-20251001,strategyqa,Majority Vote,78.0,-2.0
claude-haiku-4-5-20251001,strategyqa,CPW,78.0,-2.0
claude-haiku-4-5-20251001,strategyqa,SCW,78.0,-2.0
gemini-2.5-flash,aqua,Greedy,14.000000000000002,0.0
gemini-2.5-flash,aqua,Majority Vote,20.0,5.999999999999998
gemini-2.5-flash,aqua,CPW,20.0,5.999999999999998
gemini-2.5-flash,aqua,SCW,20.0,5.999999999999998
gemini-2.5-flash,svamp,Greedy,78.0,0.0
gemini-2.5-flash,svamp,Majority Vote,88.0,10.0
gemini-2.5-flash,svamp,CPW,88.0,10.0
gemini-2.5-flash,svamp,SCW,88.0,10.0
gemini-2.5-flash,strategyqa,Greedy,60.0,0.0
gemini-2.5-flash,strategyqa,Majority Vote,80.0,20.0
gemini-2.5-flash,strategyqa,CPW,78.0,18.0
gemini-2.5-flash,strategyqa,SCW,78.0,18.0
